-562815818727672536
278651244-607875687
1949959103576770878
1537636813462978687
249407374190254361
-393230552-435961056
-446670649-1569130741
-2821512161669234707
-1961583502-1625487084
336397052-114454715
1315129688340897383
-580983595-1290890646
487635686-788312471
132486274275511639
-1361409965492704559
89377453536503106
-1128642812576770878
20663355371004368149
-1814139397-752575979
2018463774-577768351
-795627200-2128955535
-1737726351-1598353274
278651244-1219181052
-1792734618534519372
1832222164-940401305
373723299743526615
172870867065731699
50542269-1414046117
67269949-823664559
-2130158633-1358188196
77780367-1796976053
-20512596782132732108
46724312-1543118640
-446670649-2124083312
1210660170609423033
-3811770161159560930
-1339928467-1129566438
