-93213598185176157
2064109795-1819459670
-562815818727672536
-3070481051242097243
891830465-1273119348
-9676731571551246416
717531350-574895520
673758235-1598353274
1824079171-2047914433
-246533992288425171
-245114415-658004899
-18303703351468499112
-17023767651126768596
-20891559591853717765
-1054558050-1560252881
-1779248199-155106894
-1295125821644757902
-4818816192135497591
-277412977-485226433
-1334730046-348195175
13833712081116193363
1248907112-2000899119
-14722410861035618265
-1427660472763909841
-2066188171-795195967
-708467337-1690507211
1752844100-1569087756
2021259647-241942489
-768610023-2031891459
891896756211773071
208164148-501575093
16365269931214925707
9540415-135458886
-1418102201331899080
-6829061321112455762
-1462708905-1132382330
-831307106197579239
854432023-1168792817
-1230809053-70500209
8924653462043608074
1802665449-1033490621
1918777965682305790
-1609416264-691618880
-5447309261382027485
538040453-790484257
1876273027592011649
1817629391287736982
-131324331-1535087167
-1953371292-757965613
-764398158-1794446370
-216404202757201598
-1291044241-980131644
2493625761491360768
1141725436-1278127943
-1871710095-1265442919
1382744930-712573587
1565092052-1384258026
-1390575503-287492809
-17023767651517640513
-1984977819-223692717
1292421450488761623
6235797841119801879
-1823925081599320906
2056890311-1964272315
1821788054689240878
581291687-1770768561
1121886178909515407
-538599731-648272990
2495610821245189400
108762896748874141
-808542644174410319
1909064933586204808
-715071355795790125
-304252180-1294941988
-1228010024-839323469
-1698680284770585171
-514079059-1793375093
16610048381840454859
762472996641276898
869453560-1772180921
-806512811-405186410
-264632271841740415
608044694-1494332217
1525909220-1799158901
120839760-1915956052
-831414125447547545
-127979858-528559950
224938959-1874623156
-58863954-971411249
1968132818-1250243712
-1671272165-27137829
1698972483-486349812
-1389862534-283108982
1526631152-1642076859
14038875461009388611
1372329528787824215
-2051530740-14875677
149509579-448084519
672553053341173502
4968697031475003010
1002772628-581598707
-1365467958-1649661326
-1547764912-238207983
1971682031-411519151
-460190237-762847182
1354190602-1333615361
21315666731870316855
-1228185971499963926
1067097829-1237760426
102476115-966730486
-25361951786483650
-938073121-29666749
763858383-1795974376
-395062892-1853892980
463356602-1100449959
321673080704095953
-2880819261535566796
108722760-1219984449
-128761889852119183
788930851-884614044
1478681234-1691546799
2138226825-2074498631
-2019168448967734080
34145759118992792
-1230334087-2006015161
-16265538641830759451
926907040-132027720
661122804-1049669870
-3107385771050112165
1051235385-464599830
14540334801529322667
-446670649-1569130741
-591251237984402076
924288439-1911899091
-1630616964783162417
-15103154211438384031
-10226914658345142
1669845231-435725346
