17529210471046476237
-562815818727672536
1949959103576770878
1537636813462978687
-2821512161669234707
-164271522-1393381120
1315129688340897383
1537636813-1486739757
-874270657-723255930
487635686-788312471
132486274275511639
481737187-1138585965
-1128642812576770878
-122596447-93795021
-795627200-2128955535
-1061646905-42983193
-7967546731949503090
-282151216-704303728
2037912719-477096226
1640000197-533297065
67269949-823664559
965550148-2055570253
-16539552882075768110
8049965221402634637
-3843672611380810931
-232210125-1445045117
-1267075136319839468
1917420221335827183
1210660170609423033
1832898022596033489
76138217851309378
